 1
 1 45364
 300 25 740
 90 410120 436189 27
 91 409875 435755 19
 92 410180 436398 33
 93 410244 436276 1
 94 410224 436222 1
 95 410435 436784 37
 96 409573 436533 49
 97 409575 436677 54
 98 409553 436813 30
 99 409546 436882 12
 100 409701 436391 34
 101 409691 436539 58
 102 409680 436697 61
 103 409667 436825 23
 104 409657 436892 12
 105 409858 436418 96
 106 409795 436554 37
 107 409788 436708 46
 108 409768 436873 25
 109 409900 436600 52
 110 409863 436728 35
 111 409923 436735 31
 112 409874 436894 41
 113 410006 436607 33
 114 410003 436738 26
 115 410006 436804 28
 116 409960 436901 19
 117 410014 436903 17
 118 409816 437011 28
 119 410120 436627 39
 120 410099 436799 32
 121 410072 436904 5
 122 410234 436518 39
 123 410205 436634 36
 124 410213 436728 25
 125 410212 436795 22
 126 410320 436562 17
 127 410324 436701 32
 128 410107 437014 7
 129 410201 436904 1
 130 410140 436494 33
 131 409026 436332 88
 132 408906 436537 18
 133 408865 436634 49
 134 408849 436707 7
 135 408791 436841 1
 136 409016 436511 62
 137 408946 436666 26
 138 408921 436738 25
 139 408872 436787 13
 140 408903 436834 13
 141 409160 436346 20
 142 409102 436513 67
 143 409007 436747 34
 144 408951 436887 1
 145 409261 436338 127
 146 409213 436540 42
 147 409150 436607 84
 148 409114 436740 27
 149 409065 436786 2
 150 409057 436848 18
 151 409174 436708 37
 152 409136 436838 26
 153 409322 436406 96
 154 409255 436694 84
 155 409213 436836 33
 156 409372 436561 103
 157 409286 436828 34
 158 409355 436788 6
 159 409482 436380 31
 160 409456 436520 38
 161 409442 436668 94
 162 409429 436834 32
 163 408514 436845 9
 164 408597 436868 15
 165 408644 436892 5
 166 408796 436835 185
 167 408888 436863 54
 168 408951 436887 135
 169 409662 434465 6
 170 409591 434570 25
 171 409610 434773 16
 172 409638 434867 1
 173 409684 434946 1
 174 409830 435210 24
 175 409738 434678 19
 176 409700 434754 46
 177 409732 434890 30
 178 409718 435043 21
 179 409810 435094 11
 180 409892 435208 33
 181 409968 435327 20
 182 409770 434593 23
 183 409819 434672 30
 184 409812 434774 43
 185 409823 434877 37
 186 409798 434991 6
 187 409939 435089 51
 188 409972 435164 62
 189 409923 434767 15
 190 409920 434854 8
 191 409892 434941 16
 192 409971 435014 25
 193 410079 435087 37
 194 410064 435263 21
 195 409833 434956 22
 196 410157 435130 25
 197 409962 434875 40
 198 410042 434928 19
 199 410123 434968 27
 200 410197 435045 5
 201 410307 434939 31
 202 410389 434885 17
 203 409789 434303 41
 204 409837 434359 26
 205 409917 434411 21
 206 410012 434462 14
 207 409942 434312 39
 208 410090 434450 28
 209 410238 434566 2
 210 410014 434305 26
 211 410109 434397 20
 212 410169 434467 22
 213 410088 434282 1
 214 410153 434343 20
 215 410249 434330 14
 216 410282 434470 21
 217 409715 434552 29
 218 409832 434522 1
 219 409987 434568 1
 220 410230 434688 1
 221 410071 434703 1
 222 410047 434778 1
 223 410113 434847 1
 224 410179 435225 29
 225 410209 435297 42
 226 410244 435175 1
 227 410298 435298 1
 228 410294 435141 26
 229 410347 435267 48
 230 410359 435086 46
 231 410430 435251 53
 232 410429 435043 58
 233 410511 435237 60
 234 410492 434950 28
 235 410545 435076 6
 236 410604 435208 2
 237 410637 435315 1
 238 410556 434954 23
 239 410607 435053 26
 240 410650 435170 21
 241 410618 434776 30
 242 410656 435029 31
 243 410705 435132 21
 244 410721 435245 17
 245 410684 435340 3
 246 410660 434732 32
 247 410737 434792 33
 248 410744 435073 30
 249 410808 435074 1
 250 410830 435132 8
 251 410707 434687 28
 252 410780 434673 70
 253 410780 434836 19
 254 410826 434878 16
 255 410894 434903 22
 256 410939 434936 13
 257 410964 434773 38
 258 411148 435075 25
 259 411144 435014 47
 260 411176 434965 37
 261 411173 434890 34
 262 411326 435084 32
 263 410816 435249 40
 264 410481 434658 2
 265 411176 435474 10
 266 411217 435493 20
 267 411272 435509 20
 268 411342 435526 17
 269 410651 434905 1
 270 410783 434971 1
 271 410920 435029 1
 272 411057 435110 1
 273 411034 435304 1
 274 410556 434848 1
 275 410853 434804 1
 276 410958 434862 1
 277 411069 434818 1
 278 411250 435070 1
 279 411327 434980 1
 280 411037 434936 1
 281 411269 435392 1
 282 411398 435412 1
 283 410220 435613 1
 284 410169 435417 26
 285 410228 435388 26
 286 410252 435543 28
 287 410289 435663 25
 288 410348 436049 52
 289 410301 435384 20
 290 410325 435510 30
 291 410345 435646 39
 292 410373 435785 31
 293 410394 435919 30
 294 410417 436035 24
 295 410439 436137 17
 296 410466 436253 18
 297 410395 436240 1
 298 410482 436373 17
 299 410371 435374 11
 300 410394 435496 31
