 11
 1 83012
 3038 600 321
 318 2567 3234 40
 319 2568 3274 23
 320 2566 3310 72
 321 2568 3350 60
 322 2566 3386 96
 323 2567 3428 26
 324 2568 3466 78
 325 2352 89 95
 326 2348 125 57
 327 2349 168 86
 328 2349 208 22
 329 2350 244 11
 330 2349 286 28
 331 2350 322 13
 332 2400 333 13
 333 2466 323 15
 334 2406 207 65
 335 2378 168 33
 336 2417 130 52
 337 2397 70 87
 338 2468 283 64
 339 2467 242 13
 340 2494 245 82
 341 2467 208 39
 342 2462 168 34
 343 2465 129 38
 344 2465 90 39
 345 2421 383 8
 346 2377 449 97
 347 2458 392 78
 348 2468 467 2
 349 2507 561 38
 350 2351 534 46
 351 2352 574 3
 352 2350 614 16
 353 2350 652 49
 354 2352 691 49
 355 2350 727 88
 356 2351 768 89
 357 2467 765 79
 358 2466 729 58
 359 2466 692 41
 360 2466 649 48
 361 2466 613 8
 362 2466 574 77
 363 2467 540 88
 364 2513 572 37
 365 2350 827 28
 366 2418 836 27
 367 2438 875 3
 368 2475 833 93
 369 2495 941 24
 370 2388 942 75
 371 2348 940 61
 372 2475 1008 68
 373 2466 1038 72
 374 2351 1040 55
 375 2350 1075 66
 376 2349 1114 66
 377 2347 1152 21
 378 2349 1192 86
 379 2349 1232 6
 380 2348 1270 56
 381 2348 1307 27
 382 2388 1209 82
 383 2408 1116 97
 384 2468 1310 34
 385 2466 1269 29
 386 2465 1232 63
 387 2484 1212 60
 388 2465 1190 21
 389 2465 1158 94
 390 2462 1112 43
 391 2466 1075 24
 392 2367 1354 17
 393 2380 1433 35
 394 2338 1452 73
 395 2415 1482 75
 396 2436 1431 19
 397 2425 1394 89
 398 2426 1358 39
 399 2465 1471 39
 400 2473 1373 69
 401 2321 1522 85
 402 2320 1557 34
 403 2320 1598 14
 404 2318 1638 15
 405 2320 1673 68
 406 2321 1717 27
 407 2322 1755 7
 408 2321 1794 45
 409 2321 1832 44
 410 2322 1872 3
 411 2349 1831 46
 412 2377 1870 17
 413 2378 1830 60
 414 2378 1789 37
 415 2378 1752 81
 416 2378 1714 61
 417 2377 1679 65
 418 2376 1637 83
 419 2378 1597 77
 420 2378 1558 25
 421 2380 1524 40
 422 2525 1880 5
 423 2493 1868 20
 424 2495 1830 71
 425 2493 1791 60
 426 2492 1753 16
 427 2493 1714 89
 428 2491 1676 69
 429 2492 1634 4
 430 2493 1601 70
 431 2494 1559 10
 432 2494 1349 30
 433 2378 2022 51
 434 2379 2059 39
 435 2377 2099 77
 436 2379 2137 62
 437 2377 2177 82
 438 2379 2218 4
 439 2379 2254 88
 440 2454 2041 15
 441 2474 1953 77
 442 2495 2288 47
 443 2493 2255 29
 444 2494 2218 33
 445 2491 2176 18
 446 2492 2138 21
 447 2493 2100 80
 448 2493 2061 66
 449 2495 2022 17
 450 2377 2388 55
 451 2378 2425 76
 452 2377 2468 30
 453 2376 2501 61
 454 2377 2547 91
 455 2379 2586 60
 456 2378 2624 80
 457 2378 2663 79
 458 2406 2428 11
 459 2437 2505 47
 460 2448 2624 4
 461 2495 2665 92
 462 2495 2623 74
 463 2495 2585 63
 464 2493 2547 25
 465 2493 2506 60
 466 2495 2468 26
 467 2494 2429 85
 468 2494 2391 67
 469 2379 2749 80
 470 2377 2786 61
 471 2377 2825 17
 472 2375 2865 45
 473 2378 2903 76
 474 2376 2943 26
 475 2377 2981 55
 476 2446 2769 63
 477 2436 2729 21
 478 2529 2979 72
 479 2515 3013 69
 480 2494 2982 45
 481 2491 2942 37
 482 2491 2902 37
 483 2492 2865 28
 484 2492 2825 80
 485 2493 2786 9
 486 2493 2748 1
 487 2531 2827 65
 488 2531 2787 45
 489 2530 2710 12
 490 2376 3057 1
 491 2376 3095 64
 492 2376 3136 95
 493 2378 3175 8
 494 2377 3212 33
 495 2377 3251 34
 496 2375 3288 2
 497 2377 3328 77
 498 2378 3368 33
 499 2376 3408 79
 500 2424 3426 92
 501 2454 3444 100
 502 2494 3403 62
 503 2495 3368 87
 504 2493 3326 67
 505 2492 3286 61
 506 2493 3248 21
 507 2493 3210 25
 508 2493 3170 84
 509 2492 3127 33
 510 2494 3095 45
 511 2495 3059 77
 512 2390 3550 93
 513 2385 3695 5
 514 2504 3813 88
 515 2268 3813 37
 516 2150 91 66
 517 2150 129 80
 518 2149 165 59
 519 2147 209 2
 520 2149 244 98
 521 2147 282 6
 522 2149 323 2
 523 2179 243 93
 524 2191 66 56
 525 2228 76 57
 526 2227 108 78
 527 2218 303 76
 528 2240 341 68
 529 2267 325 26
 530 2268 282 73
 531 2326 306 62
 532 2267 243 21
 533 2302 223 60
 534 2265 203 24
 535 2305 188 9
 536 2264 167 44
 537 2267 127 8
 538 2265 87 14
 539 2303 72 6
 540 2111 428 15
 541 2111 466 93
 542 2187 426 16
 543 2246 486 11
 544 2266 464 35
 545 2317 468 89
 546 2229 406 72
 547 2150 534 44
 548 2149 573 25
 549 2147 611 42
 550 2144 651 82
 551 2150 691 56
 552 2148 728 30
 553 2148 848 71
 554 2128 807 34
 555 2178 611 53
 556 2188 642 16
 557 2225 515 48
 558 2225 555 66
 559 2233 728 93
 560 2303 767 64
 561 2267 767 27
 562 2266 730 67
 563 2303 709 43
 564 2265 689 48
 565 2312 650 86
 566 2266 651 53
 567 2267 615 12
 568 2262 571 37
 569 2266 534 20
 570 2130 803 63
 571 2167 848 71
 572 2245 843 62
 573 2286 885 51
 574 2167 921 54
 575 2136 939 4
 576 2149 1031 91
 577 2148 1063 89
 578 2147 1107 61
 579 2149 1143 89
 580 2145 1183 76
 581 2146 1219 79
 582 2146 1261 32
 583 2148 1300 34
 584 2148 1333 2
 585 2146 1377 70
 586 2195 1378 89
 587 2193 1221 28
 588 2206 1181 51
 589 2186 1142 35
 590 2206 1106 7
 591 2224 1066 71
 592 2265 1375 57
 593 2265 1339 87
 594 2261 1296 34
 595 2263 1260 93
 596 2264 1220 79
 597 2291 1221 79
 598 2263 1182 79
 599 2281 1164 75
 600 2264 1143 66
 601 2263 1104 59
 602 2261 1065 63
 603 2261 1026 87
 604 2253 1463 70
 605 2173 1462 98
 606 2146 1520 45
 607 2145 1558 35
 608 2147 1597 81
 609 2146 1635 93
 610 2144 1677 96
 611 2147 1716 46
 612 2145 1753 17
 613 2144 1793 46
 614 2147 1831 3
 615 2146 1870 56
 616 2204 1868 1
 617 2206 1830 94
 618 2205 1789 32
 619 2206 1753 75
 620 2205 1714 80
 621 2202 1673 47
 622 2204 1635 67
 623 2204 1596 85
 624 2203 1557 17
 625 2203 1521 44
 626 2251 1813 70
 627 2240 1558 56
 628 2252 1521 70
 629 2308 1966 83
 630 2310 1927 53
 631 2261 1922 31
 632 2194 1921 55
 633 2134 1951 47
 634 2148 2080 14
 635 2146 2122 27
 636 2143 2161 70
 637 2144 2200 2
 638 2148 2240 3
 639 2146 2278 100
 640 2145 2316 16
 641 2145 2354 85
 642 2146 2393 24
 643 2146 2434 26
 644 2186 2136 58
 645 2244 2450 9
 646 2204 2430 38
 647 2203 2391 63
 648 2204 2273 13
 649 2205 2314 65
 650 2199 2273 65
 651 2204 2239 49
 652 2230 2254 8
 653 2205 2197 92
 654 2203 2158 100
 655 2205 2602 88
 656 2205 2083 6
 657 2241 2062 61
 658 2204 2043 43
 659 2203 2014 77
 660 2254 2026 23
 661 2328 2024 55
 662 2319 2080 47
 663 2319 2122 59
 664 2318 2165 83
 665 2287 2169 34
 666 2319 2202 89
 667 2290 2230 30
 668 2319 2238 36
 669 2319 2277 6
 670 2291 2297 23
 671 2320 2316 16
 672 2321 2355 13
 673 2319 2396 36
 674 2319 2430 64
 675 2348 2396 70
 676 2167 2537 24
 677 2164 2576 43
 678 2163 2624 37
 679 2136 2641 78
 680 2115 2584 52
 681 2107 2661 57
 682 2106 2701 30
 683 2107 2740 39
 684 2105 2775 51
 685 2106 2819 51
 686 2104 2855 52
 687 2105 2894 91
 688 2105 2933 84
 689 2106 2992 89
 690 2175 3029 90
 691 2222 2990 32
 692 2187 2932 52
 693 2183 2893 21
 694 2185 2853 21
 695 2209 2813 27
 696 2186 2814 67
 697 2182 2778 90
 698 2185 2738 30
 699 2184 2700 36
 700 2183 2661 93
 701 2212 2699 64
 702 2252 2739 93
 703 2300 2991 51
 704 2300 2964 43
 705 2301 2933 20
 706 2301 2896 42
 707 2298 2854 92
 708 2299 2816 22
 709 2297 2776 99
 710 2296 2738 57
 711 2299 2700 10
 712 2300 2660 30
 713 2337 2703 75
 714 2336 2663 74
 715 2338 2620 4
 716 2290 2585 4
 717 2106 3087 14
 718 2075 3104 51
 719 2108 3123 83
 720 2107 3165 9
 721 2105 3201 14
 722 2107 3242 21
 723 2106 3277 31
 724 2103 3318 53
 725 2106 3359 22
 726 2106 3416 28
 727 2185 3356 52
 728 2185 3319 50
 729 2184 3277 16
 730 2181 3242 55
 731 2184 3201 54
 732 2184 3163 9
 733 2183 3122 70
 734 2182 3081 57
 735 2222 3222 19
 736 2279 3184 47
 737 2328 3077 59
 738 2298 3084 22
 739 2299 3125 4
 740 2298 3165 69
 741 2296 3205 39
 742 2299 3239 72
 743 2295 3280 18
 744 2300 3324 25
 745 2299 3355 16
 746 2339 3260 50
 747 2327 3416 1
 748 2062 3604 44
 749 2106 3606 13
 750 2167 3618 19
 751 2106 3643 42
 752 2104 3684 67
 753 2105 3723 39
 754 2105 3764 54
 755 2103 3801 89
 756 2106 3841 36
 757 2106 3884 74
 758 2166 3850 34
 759 2096 71 70
 760 2097 227 5
 761 2058 86 41
 762 2061 131 83
 763 2060 170 59
 764 2058 209 35
 765 2058 248 66
 766 2057 285 12
 767 2058 328 91
 768 1991 187 29
 769 1979 325 75
 770 1937 53 2
 771 1942 90 53
 772 1944 130 65
 773 1943 167 65
 774 1942 209 84
 775 1941 246 79
 776 1941 285 7
 777 1939 325 66
 778 2037 410 44
 779 2010 488 89
 780 2062 538 27
 781 2060 574 62
 782 2059 615 98
 783 2059 651 96
 784 2060 691 10
 785 2059 732 31
 786 2059 772 40
 787 2050 812 87
 788 1989 733 23
 789 1990 576 100
 790 1941 536 37
 791 1942 572 63
 792 1944 614 4
 793 1943 654 79
 794 1943 693 42
 795 1943 729 28
 796 1941 771 100
 797 1951 896 30
 798 2058 981 44
 799 2070 1031 52
 800 2069 1069 53
 801 2067 1107 14
 802 2068 1142 92
 803 2068 1182 51
 804 2068 1223 89
 805 2068 1259 90
 806 2074 1299 80
 807 2107 1327 56
 808 2067 1365 81
 809 2028 1318 10
 810 2038 1281 90
 811 2021 1243 96
 812 2000 1205 24
 813 1951 1257 80
 814 1950 1223 50
 815 1951 1183 55
 816 1951 1146 20
 817 1950 1111 83
 818 1950 1068 7
 819 1954 1028 40
 820 1954 972 15
 821 1951 893 70
 822 1971 1087 84
 823 2009 1032 74
 824 1893 1348 83
 825 1912 1409 11
 826 1941 1427 96
 827 2009 1433 5
 828 2000 1387 80
 829 2028 1526 88
 830 2029 1561 63
 831 2029 1599 40
 832 2029 1638 14
 833 2029 1680 82
 834 2028 1719 35
 835 2029 1755 51
 836 2028 1795 35
 837 2028 1833 71
 838 2029 1872 68
 839 2076 1813 93
 840 2097 1853 78
 841 2048 1950 88
 842 2018 1930 51
 843 1971 1521 19
 844 1971 1560 84
 845 1971 1600 59
 846 1970 1643 97
 847 1969 1677 50
 848 1971 1717 39
 849 1970 1754 48
 850 1969 1795 88
 851 1967 1351 29
 852 1969 1871 95
 853 2065 2026 59
 854 2107 2095 79
 855 2085 2141 52
 856 2095 2229 5
 857 2112 2317 41
 858 2009 2024 81
 859 2030 2084 36
 860 2029 2123 35
 861 2029 2162 38
 862 2028 2202 96
 863 2028 2239 43
 864 2029 2275 9
 865 2027 2317 77
 866 2027 2354 14
 867 2027 2393 32
 868 2028 2433 40
 869 1971 2082 38
 870 1970 2120 49
 871 1970 2161 55
 872 1972 2201 95
 873 1970 2239 32
 874 1969 2278 3
 875 1971 2317 86
 876 1970 2355 39
 877 1970 2392 7
 878 1969 2433 78
 879 1970 2469 95
 880 1949 2553 12
 881 2009 2576 100
 882 2009 2622 81
 883 2029 2665 40
 884 1982 2663 29
 885 1986 2707 87
 886 1988 2743 15
 887 1988 2777 8
 888 1989 2818 31
 889 1988 2857 97
 890 1988 2893 42
 891 1988 2934 67
 892 1912 2664 100
 893 1912 2703 25
 894 1911 2738 31
 895 1911 2779 68
 896 1913 2817 26
 897 1911 2858 20
 898 1912 2895 56
 899 1910 2932 83
 900 2026 2992 59
 901 1929 3049 64
 902 1990 3088 73
 903 1990 3125 89
 904 1989 3165 60
 905 1988 3203 38
 906 1990 3244 22
 907 1986 3280 60
 908 1989 3317 32
 909 1989 3357 35
 910 1989 3419 58
 911 2036 3318 54
 912 2045 3389 74
 913 1911 3416 80
 914 1909 3357 32
 915 1911 3318 57
 916 1911 3278 22
 917 1911 3240 49
 918 1911 3201 2
 919 1910 3165 27
 920 1912 3124 21
 921 1912 3086 71
 922 1930 3049 22
 923 2028 2992 14
 924 1988 3606 92
 925 1988 3646 33
 926 1989 3685 41
 927 1986 3724 71
 928 1986 3766 84
 929 1987 3803 99
 930 1986 3841 50
 931 1984 3880 51
 932 2015 3802 58
 933 2036 3841 69
 934 2015 3881 50
 935 1949 3605 28
 936 1949 3647 28
 937 1949 3811 90
 938 1949 3888 92
 939 1890 3540 5
 940 1911 3570 88
 941 1911 3608 69
 942 1910 3649 19
 943 1910 3686 75
 944 1911 3726 30
 945 1911 3760 48
 946 1911 3802 52
 947 1911 3841 30
 948 1911 3880 69
 949 1893 3820 51
 950 1870 3782 82
 951 1884 90 87
 952 1886 245 62
 953 1896 365 43
 954 1846 91 9
 955 1848 132 24
 956 1846 168 10
 957 1848 211 90
 958 1848 249 20
 959 1848 286 61
 960 1850 327 68
 961 1789 73 54
 962 1781 128 66
 963 1809 182 61
 964 1819 214 18
 965 1770 360 45
 966 1761 449 11
 967 1808 453 55
 968 1837 438 21
 969 1903 516 100
 970 1857 540 34
 971 1855 576 22
 972 1855 615 11
 973 1854 652 7
 974 1886 697 3
 975 1859 694 95
 976 1856 734 44
 977 1825 731 96
 978 1856 770 61
 979 1913 770 18
 980 1894 829 72
 981 1845 826 39
 982 1847 904 42
 983 1863 981 79
 984 1866 1020 75
 985 1866 1055 57
 986 1866 1099 27
 987 1865 1137 13
 988 1868 1174 31
 989 1866 1215 68
 990 1866 1251 54
 991 1866 1292 29
 992 1863 1329 26
 993 1864 1369 21
 994 1862 1402 6
 995 1836 1214 96
 996 1749 979 99
 997 1749 1018 60
 998 1750 1059 40
 999 1749 1098 39
 1000 1749 1138 57
 1001 1748 1175 40
 1002 1748 1213 75
 1003 1750 1250 78
 1004 1749 1293 85
 1005 1717 1291 27
 1006 1749 1330 37
 1007 1750 1371 98
 1008 1751 1409 80
 1009 1697 1389 72
 1010 1920 1563 84
 1011 1933 1642 70
 1012 1892 1636 80
 1013 1913 1787 7
 1014 1854 1523 98
 1015 1856 1562 48
 1016 1855 1600 76
 1017 1853 1641 44
 1018 1855 1678 72
 1019 1855 1717 66
 1020 1856 1756 15
 1021 1855 1794 47
 1022 1852 1834 82
 1023 1853 1952 88
 1024 1930 2024 33
 1025 1929 2236 96
 1026 1942 2277 48
 1027 1921 2314 12
 1028 1923 2382 8
 1029 1932 2430 26
 1030 1884 2451 77
 1031 1853 2023 31
 1032 1855 2083 80
 1033 1856 2123 6
 1034 1854 2160 47
 1035 1854 2201 5
 1036 1855 2236 77
 1037 1853 2277 43
 1038 1856 2317 73
 1039 1855 2356 83
 1040 1855 2394 61
 1041 1852 2431 48
 1042 1911 2528 15
 1043 1871 2526 13
 1044 1854 2645 93
 1045 1851 2990 17
 1046 1832 3298 83
 1047 1832 3339 54
 1048 1692 32 8
 1049 1732 91 34
 1050 1733 127 45
 1051 1710 233 34
 1052 1735 170 98
 1053 1731 209 83
 1054 1731 251 32
 1055 1731 288 29
 1056 1731 325 66
 1057 1681 213 31
 1058 1682 249 7
 1059 1645 91 66
 1060 1645 129 66
 1061 1643 167 31
 1062 1642 208 54
 1063 1643 249 67
 1064 1643 285 71
 1065 1641 322 21
 1066 1732 449 86
 1067 1652 450 8
 1068 1736 537 96
 1069 1741 575 21
 1070 1741 614 47
 1071 1741 658 74
 1072 1710 655 12
 1073 1740 692 28
 1074 1741 730 88
 1075 1742 766 68
 1076 1651 534 54
 1077 1652 575 15
 1078 1652 614 87
 1079 1651 653 7
 1080 1653 692 16
 1081 1654 730 78
 1082 1651 770 85
 1083 1650 856 38
 1084 1785 2005 99
 1085 1788 2045 8
 1086 1787 2085 20
 1087 1788 2120 1
 1088 1788 2160 97
 1089 1786 2200 10
 1090 1786 2238 4
 1091 1787 2274 18
 1092 1787 2316 41
 1093 1758 2317 7
 1094 1788 2355 20
 1095 1757 2374 68
 1096 1789 2368 38
 1097 1785 2431 3
 1098 1777 2471 4
 1099 1727 1947 91
 1100 1730 1986 70
 1101 1706 2082 59
 1102 1709 2429 23
 1103 1668 2003 40
 1104 1668 2044 85
 1105 1668 2083 4
 1106 1669 2121 78
 1107 1669 2161 25
 1108 1670 2200 20
 1109 1670 2237 83
 1110 1669 2274 24
 1111 1669 2317 74
 1112 1669 2356 40
 1113 1669 2391 23
 1114 1666 2430 40
 1115 1797 2529 97
 1116 1745 2568 19
 1117 1680 2515 29
 1118 1630 2530 19
 1119 1796 2665 99
 1120 1795 2703 57
 1121 1798 2742 69
 1122 1797 2778 29
 1123 1796 2816 54
 1124 1797 2857 48
 1125 1795 2892 58
 1126 1797 2934 50
 1127 1736 2719 42
 1128 1739 2779 85
 1129 1728 2859 26
 1130 1729 2913 46
 1131 1736 2963 89
 1132 1697 2664 2
 1133 1699 2702 42
 1134 1701 2742 50
 1135 1699 2778 4
 1136 1699 2816 31
 1137 1699 2856 96
 1138 1698 2894 61
 1139 1695 2937 80
 1140 1795 3088 63
 1141 1795 3129 18
 1142 1797 3163 93
 1143 1797 3203 32
 1144 1796 3243 16
 1145 1795 3277 7
 1146 1795 3320 90
 1147 1796 3358 100
 1148 1717 3020 33
 1149 1739 3184 100
 1150 1696 3041 56
 1151 1699 3069 71
 1152 1700 3109 48
 1153 1700 3143 76
 1154 1699 3183 48
 1155 1701 3223 37
 1156 1699 3260 80
 1157 1678 3280 67
 1158 1700 3302 4
 1159 1701 3339 8
 1160 1698 3379 47
 1161 1697 3418 60
 1162 1794 3571 98
 1163 1795 3609 42
 1164 1796 3647 45
 1165 1795 3686 22
 1166 1795 3726 31
 1167 1795 3764 7
 1168 1794 3802 63
 1169 1795 3840 48
 1170 1796 3881 21
 1171 1697 3568 88
 1172 1698 3605 2
 1173 1698 3649 56
 1174 1698 3685 50
 1175 1699 3723 15
 1176 1696 3765 11
 1177 1699 3798 60
 1178 1697 3847 91
 1179 1695 3877 70
 1180 1705 3918 71
 1181 1443 88 80
 1182 1442 127 11
 1183 1440 167 82
 1184 1441 204 63
 1185 1442 242 22
 1186 1442 282 28
 1187 1440 321 60
 1188 1482 302 49
 1189 1480 262 60
 1190 1481 223 66
 1191 1477 68 10
 1192 1529 86 89
 1193 1528 126 63
 1194 1531 167 54
 1195 1526 204 23
 1196 1530 245 66
 1197 1528 283 99
 1198 1530 323 26
 1199 1548 366 4
 1200 1564 331 25
 1201 1415 458 31
 1202 1402 574 14
 1203 1412 610 13
 1204 1453 455 2
 1205 1452 492 77
 1206 1452 534 7
 1207 1453 572 39
 1208 1451 612 22
 1209 1451 652 8
 1210 1454 687 39
 1211 1453 731 95
 1212 1451 765 3
 1213 1452 805 4
 1214 1452 844 56
 1215 1452 880 16
 1216 1542 891 29
 1217 1537 809 25
 1218 1540 767 13
 1219 1542 727 17
 1220 1615 765 6
 1221 1576 708 71
 1222 1539 689 40
 1223 1533 647 37
 1224 1540 610 7
 1225 1539 573 25
 1226 1538 534 9
 1227 1518 455 39
 1228 1412 1054 79
 1229 1432 1073 81
 1230 1452 1056 51
 1231 1449 1093 72
 1232 1450 1132 88
 1233 1449 1172 79
 1234 1454 1210 33
 1235 1452 1252 84
 1236 1452 1289 75
 1237 1451 1324 5
 1238 1450 1366 29
 1239 1452 1406 71
 1240 1509 1206 76
 1241 1529 1291 33
 1242 1570 1055 99
 1243 1570 1092 68
 1244 1567 1131 81
 1245 1567 1171 54
 1246 1566 1209 83
 1247 1567 1251 39
 1248 1566 1290 100
 1249 1567 1322 96
 1250 1565 1370 47
 1251 1567 1405 72
 1252 1586 1232 56
 1253 1605 1190 46
 1254 1663 1171 55
 1255 1660 1089 68
 1256 1663 1056 92
 1257 1598 1995 88
 1258 1490 2080 32
 1259 1490 2121 67
 1260 1487 2157 74
 1261 1487 2198 84
 1262 1489 2235 74
 1263 1487 2274 38
 1264 1489 2314 61
 1265 1487 2351 46
 1266 1492 2393 77
 1267 1488 2429 28
 1268 1517 2196 13
 1269 1557 2215 4
 1270 1556 2078 38
 1271 1602 2079 95
 1272 1604 2118 98
 1273 1604 2074 44
 1274 1605 2199 42
 1275 1601 2237 17
 1276 1604 2272 43
 1277 1603 2316 16
